author,data
Author A,Result for Author A
Author B,Result for Author B
Author C,Result for Author C
['C. F. Williamson'],Result for ['C. F. Williamson']
['David Halliburton'],Result for ['David Halliburton']
['Jean-Jacques Demorest'],Result for ['Jean-Jacques Demorest']
['Robert Douglas-Fairhurst'],Result for ['Robert Douglas-Fairhurst']
['R. Weiss'],Result for ['R. Weiss']
['Dennis R. Danielson'],Result for ['Dennis R. Danielson']
['Patricia Thomson'],Result for ['Patricia Thomson']
['D. M. Davin'],Result for ['D. M. Davin']
['EMMA ANNETTE WILSON'],Result for ['EMMA ANNETTE WILSON']
['anonymous'],Result for ['anonymous']
['SANDRA M. GUSTAFSON'],Result for ['SANDRA M. GUSTAFSON']
['David Finkelstein'],Result for ['David Finkelstein']
['E. Bagby Atwood'],Result for ['E. Bagby Atwood']
['I. J. Kapstein'],Result for ['I. J. Kapstein']
['Andreas Kramer'],Result for ['Andreas Kramer']
['Eda Sagarra'],Result for ['Eda Sagarra']
['D. J. Palmer'],Result for ['D. J. Palmer']
['John L. Deister'],Result for ['John L. Deister']
 a c dunstan,Result for  a c dunstan
['Alrik Gustafson'],Result for ['Alrik Gustafson']
['Catherine Brown'],Result for ['Catherine Brown']
['Sharon B. Oster'],Result for ['Sharon B. Oster']
['F. N. Robinson'],Result for ['F. N. Robinson']
['George J. Worth'],Result for ['George J. Worth']
['Antony Stokes'],Result for ['Antony Stokes']
['C. T. Onions'],Result for ['C. T. Onions']
['CHRISTOPHER NEALON'],Result for ['CHRISTOPHER NEALON']
['Franz H. Mautner'],Result for ['Franz H. Mautner']
 ann feltham,Result for  ann feltham
['James R. Sutherland'],Result for ['James R. Sutherland']
['Allison Gaw'],Result for ['Allison Gaw']
['Paul A. Cantor'],Result for ['Paul A. Cantor']
['Howard Maynadier'],Result for ['Howard Maynadier']
['Rüdiger Görner'],Result for ['Rüdiger Görner']
['CARINA BARTLEET'],Result for ['CARINA BARTLEET']
['Nick Moschovakis'],Result for ['Nick Moschovakis']
 j g r,Result for  j g r
['H. M. Margoliouth'],Result for ['H. M. Margoliouth']
['Ian Michael'],Result for ['Ian Michael']
['Jo Labanyi'],Result for ['Jo Labanyi']
['Hazel V. Carby'],Result for ['Hazel V. Carby']
['Jean R. Brink'],Result for ['Jean R. Brink']
['D. A. Wells'],Result for ['D. A. Wells']
['Raymond Dexter Havens'],Result for ['Raymond Dexter Havens']
['I. W. F. Maclean'],Result for ['I. W. F. Maclean']
['Hoxie Neale Fairchild'],Result for ['Hoxie Neale Fairchild']
['Jackson I. Cope'],Result for ['Jackson I. Cope']
['Richard Tobias'],Result for ['Richard Tobias']
['Alfred Allan Kern'],Result for ['Alfred Allan Kern']
['Martin Durrell'],Result for ['Martin Durrell']
['Francis Manley'],Result for ['Francis Manley']
['Isabella Wheater'],Result for ['Isabella Wheater']
['Brian Keith-Smith'],Result for ['Brian Keith-Smith']
['A. Gillies'],Result for ['A. Gillies']
['Macdonald Daly'],Result for ['Macdonald Daly']
['John E. Grant'],Result for ['John E. Grant']
['Helen Bridge'],Result for ['Helen Bridge']
['Joshua J. Weiner'],Result for ['Joshua J. Weiner']
['Marie-Hélène Huet'],Result for ['Marie-Hélène Huet']
['William White'],Result for ['William White']
['Margaret McHaffie'],Result for ['Margaret McHaffie']
['Geoffrey Tillotson'],Result for ['Geoffrey Tillotson']
['S. J. Harrison'],Result for ['S. J. Harrison']
['W. Gareth Jones'],Result for ['W. Gareth Jones']
['Richard Andrews'],Result for ['Richard Andrews']
['John C. Hirsh'],Result for ['John C. Hirsh']
['Kimberly W. Benston'],Result for ['Kimberly W. Benston']
['H. Winifred Husbands'],Result for ['H. Winifred Husbands']
['Herbert Hartman'],Result for ['Herbert Hartman']
['Christopher Smith'],Result for ['Christopher Smith']
['Steven N. Zwicker'],Result for ['Steven N. Zwicker']
['C. R. A. Gribben'],Result for ['C. R. A. Gribben']
['Helen Moore'],Result for ['Helen Moore']
['D. H. Green'],Result for ['D. H. Green']
['J. Linskill'],Result for ['J. Linskill']
['Peter France'],Result for ['Peter France']
['K. F. Hilliard'],Result for ['K. F. Hilliard']
['Samuel R. Delany'],Result for ['Samuel R. Delany']
['L. J. Swingle'],Result for ['L. J. Swingle']
['Douglas Gray'],Result for ['Douglas Gray']
['William S. Woods'],Result for ['William S. Woods']
['Robert G. Mahieu'],Result for ['Robert G. Mahieu']
['H. G. Atkins'],Result for ['H. G. Atkins']
['Cynthia Stephens'],Result for ['Cynthia Stephens']
['D. Knowles'],Result for ['D. Knowles']
['Mabel Day'],Result for ['Mabel Day']
['Richard Parish'],Result for ['Richard Parish']
['SUSAN J. WOLFSON'],Result for ['SUSAN J. WOLFSON']
['Nick Groom'],Result for ['Nick Groom']
['Paul Barnaby'],Result for ['Paul Barnaby']
['Charles Eaton Burch'],Result for ['Charles Eaton Burch']
['Larry Scanlon'],Result for ['Larry Scanlon']
['Elliot L. Gilbert'],Result for ['Elliot L. Gilbert']
['L. A. Willoughby'],Result for ['L. A. Willoughby']
['K. W. Maurer'],Result for ['K. W. Maurer']
['I. G. Philip'],Result for ['I. G. Philip']
['Hugo Donnelly'],Result for ['Hugo Donnelly']
['Ian A. Gordon'],Result for ['Ian A. Gordon']
['J. Harold Wilson'],Result for ['J. Harold Wilson']
['Vincent E. Bowen'],Result for ['Vincent E. Bowen']
['Byron Spring'],Result for ['Byron Spring']
['Robert Cummings'],Result for ['Robert Cummings']
['David Scott Wilson-Okamura'],Result for ['David Scott Wilson-Okamura']
['Charlotte Ross'],Result for ['Charlotte Ross']
['Helen Abbott'],Result for ['Helen Abbott']
['F. G. Hubbard'],Result for ['F. G. Hubbard']
['Kathryn Sutherland'],Result for ['Kathryn Sutherland']
['Judy Simons'],Result for ['Judy Simons']
['Caroline van Eck'],Result for ['Caroline van Eck']
['J. A. Downie'],Result for ['J. A. Downie']
['M. Kay Flavell'],Result for ['M. Kay Flavell']
['Mary Laughlin Fawcett'],Result for ['Mary Laughlin Fawcett']
['Anne Hudson'],Result for ['Anne Hudson']
 philip d collington,Result for  philip d collington
['Werner Welzig'],Result for ['Werner Welzig']
['Sheila Porrer'],Result for ['Sheila Porrer']
['Philip E. Bennett'],Result for ['Philip E. Bennett']
['Stanley Fish'],Result for ['Stanley Fish']
['Hugh Macdonáld'],Result for ['Hugh Macdonáld']
['G. R. Hibbard'],Result for ['G. R. Hibbard']
['W. J. B. Owen'],Result for ['W. J. B. Owen']
['Charles V. J. Russ'],Result for ['Charles V. J. Russ']
['Thomas Claviez'],Result for ['Thomas Claviez']
['R. G. Peterson'],Result for ['R. G. Peterson']
['Albert H. Tricomi'],Result for ['Albert H. Tricomi']
['Jeremy Tambling'],Result for ['Jeremy Tambling']
['Letterio di Francia'],Result for ['Letterio di Francia']
['Graham Gargett'],Result for ['Graham Gargett']
['Charles E. Gough'],Result for ['Charles E. Gough']
['Richard Strier'],Result for ['Richard Strier']
['Murray Krieger'],Result for ['Murray Krieger']
['Donald A. Low'],Result for ['Donald A. Low']
['Andrew Ross'],Result for ['Andrew Ross']
['Lino Pertile'],Result for ['Lino Pertile']
['T. H. Howard-Hill'],Result for ['T. H. Howard-Hill']
['John L. Flood'],Result for ['John L. Flood']
['Peter Zusi'],Result for ['Peter Zusi']
['J. G. Robertson'],Result for ['J. G. Robertson']
['Ritchie Robertson'],Result for ['Ritchie Robertson']
['John Preston'],Result for ['John Preston']
