,Unnamed: 0.1,Unnamed: 0,index,birthdate,record_enumerated,record_count,standard_birthdate,avg_pubdates,pub_age,status,average_S2_pubdate,VIAF_birthdate,birth2max_value,birth2min_value,title_list_len,author_len,avg_pubdate,publication_age,S2_embeddings,VIAF_embeddings,lemma_overlap,word_overlap_count
0,0,0,0,1869,1,10,1869,0.0,0.0,3,0.0,1869,0.0,0.0,0.0,0.0,0.0,0.0,0.00015037996,-0.0013048431,0,0
1,1,1,1,1813,2,10,1813,0.0,0.0,3,0.0,1813,0.0,0.0,0.0,0.0,0.0,0.0,0.00015037996,-0.0008123268,0,0
2,2,2,2,1859,3,10,1859,0.0,0.0,3,0.0,1859,0.0,0.0,0.0,0.0,0.0,0.0,0.00015037996,-0.0005111645,0,0
3,3,3,3,1866,4,10,1866,0.0,0.0,3,0.0,1866,0.0,0.0,0.0,0.0,0.0,0.0,0.00015037996,-0.0012972715,0,0
4,4,4,4,1864,5,10,1864,0.0,0.0,3,0.0,1864,0.0,0.0,0.0,0.0,0.0,0.0,0.00015037996,-0.0018337517,0,0
5,5,5,5,1854,6,10,1854,0.0,0.0,3,0.0,1854,0.0,0.0,0.0,0.0,0.0,0.0,0.00015037996,-0.0016264828,0,0
6,6,6,6,1868,7,10,1868,0.0,0.0,3,0.0,1868,0.0,0.0,0.0,0.0,0.0,0.0,0.00015037996,-0.00174793,0,0
7,7,7,7,1950,1,1,1950,1966.586206896552,16.58620689655163,0,1966.586206896552,1950,38.0,-16.0,300.0,16.0,1966.586206896552,16.58620689655163,-0.0013963709,-0.00083656,2,0
8,8,8,8,1895,1,1,1895,1939.452173913044,44.45217391304345,0,1939.452173913044,1895,57.0,27.0,2638.0,20.0,1939.4521739130437,44.45217391304345,-0.0020393792,-0.0016840674,33,0
9,9,9,9,1907,1,7,1907,0.0,0.0,3,0.0,1907,0.0,0.0,0.0,0.0,0.0,0.0,0.00015037996,-0.0013206446,0,0
10,10,10,10,1938,2,7,1938,0.0,0.0,3,0.0,1938,0.0,0.0,0.0,0.0,0.0,0.0,0.00015037996,-0.0018807929,0,0
11,11,11,11,1950,3,7,1950,0.0,0.0,3,0.0,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.00015037996,-0.0024071238,0,0
12,12,12,12,1960,1,10,1960,0.0,0.0,3,0.0,1960,0.0,0.0,0.0,0.0,0.0,0.0,0.00015037996,-0.0020063205,0,0
13,13,13,13,1944,1,7,1944,0.0,0.0,3,0.0,1944,0.0,0.0,0.0,0.0,0.0,0.0,0.00015037996,-0.0006978524,0,0
14,14,14,14,1937,1,1,1937,1991.636363636364,54.63636363636374,0,1991.636363636364,1937,72.0,42.0,958.0,12.0,1991.636363636364,54.63636363636374,-0.0009744628,-0.0020199113,7,0
15,15,15,15,1917,1,1,1917,1971.8,54.79999999999996,0,1971.8,1917,69.0,39.0,399.0,17.0,1971.8,54.79999999999996,-0.0015019802,-0.0010078266,2,0
