,author,record_count,record_enumerated,viaf_title_list,birthdate,title_list
0,['Anne Barbeau Gardiner'],2,0,"[""Ancient faith and modern freedom in John Dryden's The hind and the panther"", ""The intellectual design of John Dryden's heroic plays, c1970:"", 'Malice defeated, 1988:', 'matchless rogue']",1938,"A Witty French Preacher in the English Court, Dryden, and the Great Debate on the Real Presence, 1661-1688"
1,['Anne Barbeau Gardiner'],2,1,[],0,"A Witty French Preacher in the English Court, Dryden, and the Great Debate on the Real Presence, 1661-1688"
2,['Kate E. Tunstall'],1,0,"['Blindness and enlightenment : an essay', 'Diderot and Rousseau : networks of Enlightenment', 'Diderot\'s ""promenade Vernet"", or the Salon as landscape garden', ""Les discours artistiques de l'amour à l'âge classique"", 'Displacement, asylum, migration : the Oxford Amnesty lectures 2004', 'La figure du philosophe dans les lettres anglaises et françaises : XVIe-XVIIIe siècles', 'Une histoire brève de la littérature française', ""Interdisciplinarity / Qu'est-ce que les Lumières ? / La reconnaissance au dix-huitième siècle"", ""L'Âge classique et les Lumières / Alain Viala. - 1 ed., 3e tir. - Paris, 2018."", ""L'aveugle et le philosophe ou Comment la cécité donne à penser"", 'Letter on a blind', 'Littéraire : pour Alain Viala.', '« Ne nous engageons point dans les querelles » : A project for never-ending war ?', 'Neveu de Rameau.', 'Of a man born blind', ""Rameau's nephew"", 'Self-evident truths? human rights and the Enlightenment', 'Women and Querelles in Early Modern France']",2000,
3,['Kevin McLaughlin'],7,0,"['The arcades project', 'Paperwork : fiction and mass mediacy in the Paper Age', 'Passagen-Werk', ""The philology of life : Walter Benjamin's critical program"", 'Poetic force, 2014:', 'Points of departure : Samuel Weber between spectrality and reading', 'Writing in parts : imitation and exchange in nineteenth-century literature']",1959,
4,['Kevin McLaughlin'],7,1,['Online ad auctions: an experiment'],0,
5,['Kevin McLaughlin'],7,2,['Date guide to the birds of the Hamilton area.'],0,
6,['Kevin McLaughlin'],7,3,[],0,
7,['Kevin McLaughlin'],7,4,['Cybersecurity operations and fusion centers : a comprehensive guide to SOC and TIC strategy'],0,
8,['Kevin McLaughlin'],7,5,"['Duet, trumpets', 'Your obligations and rights under fencing laws in Virginia, 1988']",0,
9,['Kevin McLaughlin'],7,6,[],1965,
10,['Shari M. Huhndorf'],2,0,"['Going native : Indians in the American cultural imagination', 'Mapping the Americas / Shari M. Huhndorf. - Ithaca ; London, 2009.', 'Mapping the Americas : the transnational politics of contemporary native culture', 'Native lands : culture and gender in Indigenous territorial claims']",1965,"Nanook and His Contemporaries: Imagining Eskimos in American Culture, 1897-1922"
11,['Shari M. Huhndorf'],2,1,[],1965,"Nanook and His Contemporaries: Imagining Eskimos in American Culture, 1897-1922"
12,['K. M. Wheeler'],2,0,"['Case study approach to psychotherapy for advanced practice psychiatric nurses', ""The creative mind in Coleridge's poetry"", 'German aesthetics and literary criticism, 1984:', 'Guide to twentieth-century women novelists', 'Modanisuto josei sakka : Katari no senryaku', '""Modernist"" women writers and narrative art', 'Romanticism, pragmatism, and deconstruction', 'Shandean humour in English and German literature and philosophy', ""Sources, processes, and methods in Coleridge's Biographia literaria, 1980:"", ""'モダニスト'女性作家 : 語りの戦略""]",1949-06-01,
13,['K. M. Wheeler'],2,1,[],0,
