journal	year	authors	title	language	wordcount	doctype	doi	citation_counts	S2titles	S2years	condition	matchstrength	S2journal	S2authors	new_cite_count
The Review of English Studies	1969	['C. F. Williamson']	Review Article	['eng']	572	article | book-review	10.2307/512209	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1979	['David Halliburton']	Review Article	['eng']	1863	article | book-review	10.2307/437950	0		no date	not citable	0.0	NA	NA	0
PMLA	1967	['Jean-Jacques Demorest']	Pascal et le déséquilibre	['fre']	4999	article | research-article	10.2307/461288	0	Pascal et le déséquilibre	1967-05-01	no strong match	0.0	NA	NA	0
The Review of English Studies	2003	['Robert Douglas-Fairhurst']	Review Article	['eng']	1140	article | book-review	10.2307/3661498	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1951	['R. Weiss']	Review Article	['eng']	669	article | book-review	10.2307/3718589	0		no date	not citable	0.0	NA	NA	0
ELH	1980	['Dennis R. Danielson']	"Imago Dei, ""Filial Freedom,"" and Miltonic Theodicy"	['eng']	5259	article | research-article	10.2307/2872855	2	"Imago Dei, ""Filial Freedom,"" and Miltonic Theodicy"	1980-01-24	already found	0.0	NA	NA	2
The Modern Language Review	1969	['Patricia Thomson']	Review Article	['eng']	1243	article | book-review	10.2307/3723455	8	The English Petrarchans : a critical bibliography of the Canzoniere	1969-04-01	not citable	0.0	NA	NA	8
The Review of English Studies	1961	['D. M. Davin']	Review Article	['eng']	210	article | book-review	10.2307/512967	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	2010	['EMMA ANNETTE WILSON']	THE ART OF REASONING WELL: RAMIST LOGIC AT WORK IN               PARADISE LOST	['eng']	8763	article | research-article	10.2307/40587680	0	The Art of Reasoning Well: Ramist Logic at Work in Paradise Lost	2010	found	1.12	The Review of English Studies	E. Wilson	4
Modern Philology	1996	['anonymous']	Back Matter	['eng']	684	article | misc	10.2307/438705	0		no date	not citable	0.0	NA	NA	0
PMLA	2016	['SANDRA M. GUSTAFSON']	Reimagining the Literature of the Modern Republic	['eng']	4226	article | research-article	10.2307/26158877	0	Reimagining the Literature of the Modern Republic	2016	found	1.12	PMLA/Publications of the Modern Language Association of America	Sandra M. Gustafson	0
The Review of English Studies	2007	['David Finkelstein']	Review Article	['eng']	1110	article | book-review	10.2307/4501647	0		no date	not citable	0.0	NA	NA	0
PMLA	1942	['E. Bagby Atwood']	The Judgment of Paris in the Seege of Troye	['eng']	4992	article | research-article	10.2307/458780	0	The Judgment of Paris in the Seege of Troye	1942	found	1.12	PMLA/Publications of the Modern Language Association of America	E. B. Atwood	0
PMLA	1947	['I. J. Kapstein']	"The Meaning of Shelley's ""Mont Blanc"""	['eng']	6511	article | research-article	10.2307/459148	0	The Meaning of Shelley's “Mont Blanc”	1947	found	1.065945945945946	PMLA/Publications of the Modern Language Association of America	I. J. Kapstein	20
The Modern Language Review	2000	['Andreas Kramer']	Review Article	['eng']	1216	article | book-review	10.2307/3736691	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1983	['Eda Sagarra']	Literature of Peasant Life in Eighteenth-Century Germany	['eng']	7261	article | research-article	10.2307/3728328	1	Literature of Peasant Life in Eighteenth-Century Germany		already found	0.0	NA	NA	1
The Review of English Studies	1972	['D. J. Palmer']	Review Article	['eng']	977	article | book-review	10.2307/514110	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1922	['John L. Deister']	Bernart de Ventadour's Reference to the Tristan Story	['eng']	3913	article | research-article	10.2307/433444	0	Bernart de Ventadour's Reference to the Tristan Story	1922	found	1.12	Modern Philology	John L. Deister	1
The Modern Language Review	1940	['R. Weiss', 'Arthur Barker', 'George Kitchin', 'G. Tillotson', 'B. E. C. Davis', 'C. J. Sisson', 'W. M. T. Dodds', 'W. J. Entwistle', 'L. W. Tancock', 'F. J. Tanquerey', 'H. J. Hunt', 'A. C. Dunstan']	Short Notices	['eng']	3865	article | misc	10.2307/3717854	0		no date	not citable	0.0	NA	NA	0
