BOOK_ID	TITLE	AUTH_LAST	AUTH_FIRST	PUBL_DATE	LIBRARIES	REFS
20492	The reivers	Faulkner	William	1962	3403.0	14
20531	Herzog	Bellow	Saul	1963	3017.0	110
20353	Exodus	Uris	Leon	1958	3010.0	5
21251	Ragtime	Doctorow	E. L.	1975	2973.0	18
20845	The godfather	Puzo	Mario	1969	2961.0	4
21237	Humboldt's gift	Bellow	Saul	1975	2926.0	14
23529	The first circle	Solzhenitsyn	Aleksandr Isaevich	1968	2830.0	19
20818	The Andromeda strain	Crichton	Michael	1969	2813.0	1
21583	The coup	Updike	John	1978	2782.0	2
20998	Rabbit redux	Updike	John	1971	2778.0	4
20931	Losing battles	Welty	Eudora	1970	2695.0	7
21072	The optimist's daughter	Welty	Eudora	1972	2678.0	3
21642	The executioner's song	Mailer	Norman	1979	2662.0	9
21014	The terminal man	Crichton	Michael	1972	2590.0	2
21407	Falconer	Cheever	John	1977	2516.0	14
20848	Portnoy's complaint	Roth	Philip	1969	2461.0	23
21180	Something happened	Heller	Joseph	1974	2423.0	8
20209	Marjorie Morningstar	Wouk	Herman	1955	2398.0	3
10872	The wayward bus	Steinbeck	John	1947	2357.0	4
23562	Daniel Martin	Fowles	John	1977	2346.0	16
20815	Bullet Park	Cheever	John	1969	2326.0	3
21668	The ghost writer	Roth	Philip	1979	2296.0	7
20804	Couples	Updike	John	1968	2286.0	20
21772	The second coming	Percy	Walker	1980	2190.0	6
23522	The birds fall down	West	Rebecca	1966	2174.0	1
23527	2001: a space odyssey	Clarke	Arthur C.	1968	2052.0	4
11096	Nineteen eighty-four	Orwell	George	1949	2022.0	3
21379	Slapstick	Vonnegut	Kurt	1976	2007.0	5
21460	Lancelot	Percy	Walker	1977	1987.0	56
10903	Raintree County	Lockridge	Ross	1948	1935.0	6
20550	The group	McCarthy	Mary	1963	1870.0	10
23509	The collector	Fowles	John	1963	1852.0	8
20756	When she was good	Roth	Philip	1967	1846.0	3
21425	The women's room	French	Marilyn	1977	1792.0	2
20673	Fantastic voyage	Asimov	Isaac	1966	1784.0	1
11084	Brideshead revisited	Waugh	Evelyn	1945	1778.0	31
20431	Set this house on fire	Styron	William	1960	1769.0	2
21130	Gravity's Rainbow	Pynchon	Thomas	1973	1768.0	90
20656	Avalon	Seton	Anya	1965	1673.0	41
20986	Our Gang	Roth	Philip	1971	1670.0	6
20643	An American Dream	Mailer	Norman	1965	1668.0	24
20978	Wonderland	Oates	Joyce Carol	1971	1653.0	22
11024	Mrs. Dalloway	Woolf	Virginia	1925	1640.0	135
10835	Delta wedding	Welty	Eudora	1946	1633.0	7
21187	The Dispossessed	Le Guin	Ursula K.	1974	1630.0	5
21374	The spectator bird	Stegner	Wallace	1976	1614.0	1
20055	Invisible Man	Ellison	Ralph	1952	1577.0	164
11061	Rebecca	Du Maurier	Daphne	1938	1554.0	5
11869	The loved one	Waugh	Evelyn	1948	1519.0	5
20953	Grendel	Gardner	John	1971	1517.0	19
10854	Gentleman's agreement	Hobson	Laura Z.	1947	1508.0	3
20462	A new life	Malamud	Bernard	1961	1499.0	4
20520	Letting go	Roth	Philip	1962	1491.0	11
21045	Transparent things	Nabokov	Vladimir Vladimirovich	1972	1485.0	12
21020	The sunlight dialogues	Gardner	John	1972	1479.0	3
20469	The moviegoer	Percy	Walker	1961	1448.0	14
23571	Burger's daughter	Gordimer	Nadine	1979	1386.0	12
21136	As we are now	Sarton	May	1973	1374.0	3
11020	A passage to India	Forster	E. M.	1924	1370.0	6
20791	Expensive people	Oates	Joyce Carol	1968	1358.0	3
20514	Pale fire	Nabokov	Vladimir Vladimirovich	1962	1322.0	71
21496	Arthur Rex	Berger	Thomas	1978	1305.0	2
10273	Elmer Gantry	Lewis	Sinclair	1927	1287.0	6
11060	The years	Woolf	Virginia	1937	1279.0	107
21570	A reckoning	Sarton	May	1978	1269.0	2
10879	House divided	Williams	Ben Ames	1947	1238.0	8
23558	Lady oracle	Atwood	Margaret	1976	1228.0	13
10299	The children	Wharton	Edith	1928	1225.0	46
10375	Obscure destinies	Cather	Willa	1932	1222.0	3
10343	The good earth	Buck	Pearl S.	1931	1221.0	3
11030	To the lighthouse	Woolf	Virginia	1927	1192.0	25
23508	The golden notebook	Lessing	Doris	1962	1188.0	68
10221	So big	Ferber	Edna	1924	1162.0	1
10732	Dangling man	Bellow	Saul	1944	1152.0	17
23485	The fountain overflows	West	Rebecca	1956	1148.0	1
23556	Guerrillas	Naipaul	V. S.	1975	1148.0	7
20563	Cat's Cradle	Vonnegut	Kurt	1963	1147.0	7
23526	No laughing matter	Wilson	Angus	1967	1121.0	10
20586	Second skin	Hawkes	John	1964	1114.0	5
21385	The Easter parade	Yates	Richard	1976	1108.0	1
20213	Giovanni's room	Baldwin	James	1956	1107.0	9
20177	Auntie Mame	Dennis	Patrick	1955	1101.0	3
20524	Wolf willow	Stegner	Wallace	1962	1082.0	4
20637	Midnight cowboy	Herlihy	James Leo	1965	1069.0	1
11035	The good companions	Priestley	J. B.	1929	1066.0	3
10639	In this our life	Glasgow	Ellen Anderson Gholson	1941	1051.0	3
20760	Death kit	Sontag	Susan	1967	1035.0	2
10255	My mortal enemy	Cather	Willa	1926	1033.0	5
11042	The waves	Woolf	Virginia	1931	1018.0	151
10709	Citizen Tom Paine	Fast	Howard	1943	1015.0	2
4620	Alice Adams	Tarkington	Booth	1921	1014.0	5
21040	All my friends are going to be strangers	McMurtry	Larry	1972	1008.0	1
10742	Freedom road	Fast	Howard	1944	1004.0	3
