docid	hathi_author	hathi_title	authordate	birthyear	deathyear	chi_date	ukw_date	copyright_date	firstpub	datewrong	nationality	nonficprob	distances	copyright_corpus	manual_corpus	us_national	pubdate_known	authof3ormore	tokens	pagesinchunk	tokensperpage	omnibus
nyp.33433074944335	Tasma	In her earliest youth	1848-1897.	1848.0					1890			0.205894191092835		False	False	False	False	False	75424	251	300.494	False
mdp.39015064792974	Burton, Richard Francis, Sir	Supplemental nights, to the book of the Thousand and one nights	1821-1890.	1821.0					1890			0.356372160595231		False	False	False	False	False	86179	247	348.903	False
mdp.39015020725266	Keller, Gottfried	A village Romeo and Juliet	1819-1890.	1819.0					1890			0.227204344598825		False	False	False	False	False	18787	92	204.207	False
uc2.ark+=13960=t84j0d20m	Jones, Erasmus W	Gold tinsel and trash	1817-	1817.0					1890			0.235920212292774		False	False	False	False	False	44521	267	166.745	False
nc01.ark+=13960=t6252734q	Brown, Joseph M	Kennesaw's bombardment, or, How the sharpshooters woke up the batteries	1851-1932.	1851.0					1890			0.565399343920215		False	False	False	False	False	23443	146	160.568	False
inu.32000000663387	Haggard, H. Rider (Henry Rider)	The world's desire	1856-1925.	1856.0					1890			0.390599567090796		False	False	False	False	False	49940	283	176.466	False
uc2.ark+=13960=t3nv9jv7r	Whitby, Beatrice	A matter of skill	d. 1931.						1890			0.204221320761154		False	False	False	False	False	26299	187	140.636	False
mdp.39015064792966	Burton, Richard Francis, Sir	Supplemental nights, to the book of the Thousand and one nights	1821-1890.	1821.0					1890			0.267157439953804		False	False	False	False	False	129572	382	339.194	False
uiuo.ark+=13960=t8x92jx5c	Dennehy, H. E	Alethea							1890			0.452817823962257		False	False	False	False	False	38111	244	156.193	False
njp.32101067491447	Korolenko, Vladimir Galaktionovich	The blind musician	1853-1921.	1853.0					1890			0.094143884353181		False	False	False	False	False	21738	219	99.26	False
uva.x001850702	Holmes, Oliver Wendell	Over the teacups	1809-1894.	1809.0	1894.0	1890.0			1890	0.2	us	0.582552438214775	45.4046447086939	False	True	True	True	True	54710	268	204.142	False
wu.89098883549	Paine, Harriet E. (Harriet Eliza)	Girls and women	1845-1910.	1845.0					1890			0.938044600103295		False	False	False	False	False	32471	192	169.12	False
uc2.ark+=13960=t3nv9bn7k	Fawcett, Edgar	Fabian Dimitry	1847-1904.	1847.0					1890			0.051601261499409		False	False	False	False	False	29966	249	120.345	False
