docid	hathi_author	hathi_title	authordate	birthyear	deathyear	chi_date	ukw_date	copyright_date	firstpub	datewrong	nationality	nonficprob	distances	copyright_corpus	manual_corpus	us_national	pubdate_known	authof3ormore	tokens	pagesinchunk	tokensperpage	omnibus
nnc1.cu58463860	Taylor, C. E. (Charles E.)	Jumby hall							1890			0.106879335532835		False	False	False	False	False	28534	102	279.745	False
mdp.39015049821898	Burnett, Frances (Hodgson)	Little Saint Elizabeth, and other stories	1849-1924.	1849.0					1890			0.111724367992118		False	False	False	False	False	21105	142	148.627	False
uc1.b3321293	Duncan, Sara Jeannette	A social departure; how Orthodocia and I went round the world by ourselves	1861-1922.	1861.0					1890			0.505751464734345		False	False	False	False	False	74447	356	209.121	False
uiuo.ark+=13960=t25b0r426	Russell, William Clark	An ocean tragedy	1844-1911.	1844.0					1890			0.15165937566769		False	False	False	False	False	36842	251	146.781	False
uc2.ark+=13960=t21c1w120	Van der Naillen, Albert	On the heights of Himalay	1830-1928.	1830.0					1890			0.484629025957452		False	False	False	False	False	42294	224	188.8	False
nyp.33433084128879	Bates, Arlo	Albrecht	1850-1918.	1850.0	1918.0		1890.0		1890	3.3	us	0.0	57.4208977810576	False	True	True	True	True	31518	224	140.705	False
nc01.ark+=13960=t7pp03r3c	Alger, Horatio	Driven from home, or, Carl Crawford's experience	1832-1899.	1832.0					1890			0.037927843252401		False	False	True	True	True	30245	238	127.08	False
uc1.b3322068	Fothergill, Jessie	A march in the ranks	1851-1891.	1851.0					1890			0.128139717810166		False	False	False	False	False	102587	342	299.962	False
nc01.ark+=13960=t2t44984x	Collins, Clarence B	Tom and Joe					1890.0		1890	5.3	us	0.0	45.2283236860506	False	True	True	True	False	39782	219	181.653	False
mdp.39015031472791	Wood, Ellen	Edward Burton	1834-1909.	1834.0					1890			0.210663669476432		False	False	False	False	False	48488	249	194.731	False
loc.ark+=13960=t9m33mf9n	Samuels, Edward A. (Edward Augustus)	With fly-rod and camera	1836-1908.	1836.0					1890			0.910750680986148		False	False	False	False	False	40977	395	103.7	False
mdp.39015020725266	Keller, Gottfried	A village Romeo and Juliet	1819-1890.	1819.0					1890			0.227204344598825		False	False	False	False	False	18787	92	204.207	False
mdp.39015056045407	Gardener, Helen H. (Helen Hamilton)	Is this your son, my lord? : a novel	1858-1925.	1858.0					1890			0.133975053556549		False	False	False	False	False	39610	236	167.839	False
nyp.33433074818836	Cowan, Frank	The millionaire : a novel	1844-1905.	1844.0					1890			0.467838856385465		False	False	False	False	False	73313	471	155.654	False
mdp.39015063964640	Wilkinson, William Cleaver	The epic of Saul	1833-1920.	1833.0					1890			0.145193429654333		False	False	False	False	False	34928	320	109.15	False
uiuo.ark+=13960=t9v12bx9q	Colvill, Helen Hester	Mr. Bryant's mistake							1890			0.0		False	False	False	False	False	38826	263	147.627	False
nyp.33433074851928	Earle, Anne Richardson	Her great ambition							1890			0.183283956569136		False	False	False	False	False	48583	267	182.0	False
mdp.39015011421701	Doyle, Arthur Conan, Sir	The sign of the four	1859-1930.	1859.0					1890			0.378196225693584		False	False	False	False	False	25690	153	167.908	False
njp.32101068141934	Libbey, Laura Jean	Parted by fate, a novel	1862-1924.	1862.0					1890			0.039162988844108		False	False	False	False	False	44469	238	186.845	False
nyp.33433076049711	Perry, Nora	Another flock of girls	1831-1896.	1831.0					1890			0.048044873516448		False	False	False	False	False	20224	185	109.319	False
uc1.31158005109987	Caine, Hall, Sir	The shadow of a crime, a novel	1853-1931.	1853.0					1890			0.027212767474879		False	False	False	False	False	67602	276	244.935	False
njp.32101064786260	Atherton, Gertrude Franklin Horn	Los cerritos : A romance of the modern time	1857-1948.	1857.0					1890			0.319709435095853		False	False	False	False	False	32115	252	127.44	False
mdp.39015059395171	Barrie, J. M. (James Matthew)	A Tillyloss scandal	1860-1937.	1860.0					1890			0.282287966512399		False	False	False	False	False	26804	230	116.539	False
njp.32101065839522	Mitchell, S. Weir (Silas Weir)	Far in the forest : a story		1829.0					1890					False	False	False	True	True	42534	251	169.458	False
uc2.ark+=13960=t32230t57	Stapleton, Patience	Babe Murphy							1890			0.168153185496284		False	False	False	False	False	45014	238	189.134	False
nnc1.1002203456	Specht, Emma E. H	Alfrieda. A novel							1890			0.333031181750748		False	False	False	False	False	126751	500	253.502	False
njp.32101067630390	Brooks, Elbridge Streeter	A son of Issachar : a romance of the days of Messias / by Elbridge S. Brooks	1846-1902.	1846.0					1890			0.054746606016132		False	False	False	False	False	45692	256	178.484	False
uiuo.ark+=13960=t00z7jd1k	Tennyson, Mary H	Friend Perditus A novel							1890			0.07583563834153		False	False	False	False	False	31608	284	111.296	False
uc2.ark+=13960=t0gt5m35h	Meredith, George	The case of General Ople and Lady Camper	1828-1909.	1828.0					1890			0.124511341404744		False	False	False	False	False	11936	110	108.509	False
uiuo.ark+=13960=t9k365n3w	Gissing, Algernon	A village Hampden	1860-1937.	1860.0					1890			0.136350861727534		False	False	False	False	False	26866	265	101.381	False
wu.89104493739	Southworth, Emma Dorothy Eliza Nevitte	The test of love, or, Brandon Coyle's wife : a sequel to Between two loves	1819-1899.	1819.0					1890			0.064765494707537		False	False	False	False	False	60226	212	284.085	False
uc2.ark+=13960=t03x8h61f	Kipling, Rudyard	Mine own people	1865-1936.	1865.0					1890			0.42803617133688		False	False	False	False	False	30706	212	144.84	False
mdp.39015011958199	Wood, Jerome James	The wilderness and the rose; a story of Michigan							1890			0.396228382686263		False	False	False	False	False	17201	126	136.516	False
nyp.33433074876537	Kernahan, Coulson, Mrs	A laggard in love	1857-1941.	1857.0					1890			0.480765019812166		False	False	False	False	False	62824	196	320.531	False
uc2.ark+=13960=t5gb23099	Broughton, Rhoda	Alas!	1840-1920.	1840.0					1890			0.072539536175414		False	False	False	False	False	28402	251	113.155	False
nyp.33433075904791	Waugh, Edwin	Rambles in the lake country and other travel sketches	1817-1890.	1817.0					1890			0.942758045350281		False	False	False	False	False	44711	258	173.298	False
uc2.ark+=13960=t1mg7fz8x	Harrison, Burton, Mrs	The anglomaniacs	1843-1920.	1843.0					1890			0.089517560422345		False	False	False	False	False	21270	246	86.463	False
uiuo.ark+=13960=t16m3rp3s	Lillie, Arthur	The cobra diamond							1890			0.263212008076154		False	False	False	False	False	18577	212	87.627	False
nyp.33433074930854	Boldrewood, Rolf	The miner's right : a tale of the Australian goldfields	1826-1915.	1826.0					1890			0.5492629916831		False	False	False	False	False	99755	327	305.061	False
