BOOK_ID	FILENAME	LIBRARIES	TITLE	AUTH_LAST	AUTH_FIRST	AUTH_ID	WRITTEN_AS	PUBL_CITY	PUBLISHER	PUBL_DATE	SOURCE	NATIONALITY	GENRE	CLEAN?	GENRE_2	BESTSELLER?	paperId	year
10517	00010517.txt	49.0	Place in the city	Fast	Howard	A_01139		New York	"""Harcourt, Brace & Co."""	1937	k	American					10517	1937
uc1.$b243800	uc1.$b243800.txt		The trap : a novel	Jacobson	['Dan']					1955	extracted_features						uc1.$b243800	1955
21599	00021599.txt	331.0	Umbertina	Barolini	Helen	A_00173		New York	Seaview Books	1979	k	American		c			21599	1979
uc1.b4372570	uc1.b4372570.txt		The Odyssey of a nice girl	Suckow	['Ruth']					1925	extracted_features						uc1.b4372570	1925
loc.ark+=13960=t98636g92	loc.ark+=13960=t98636g92.txt		Granville;	Guttersen	['Granville']					1919	hathi_fulltext						loc.ark+=13960=t98636g92	1919
10856	00010856.txt	50.0	Practically perfect	Lambert	Janet	A_01978		New York	E.P. Dutton	1947	k	American		c			10856	1947
11238	00011238.txt	38.0	Memoirs of a fox-hunting man	Sassoon	Siegfried	A_03030		London	Faber & Faber	1928	k	British					11238	1928
nyp.33433075969299	nyp.33433075969299.txt		Will the coming man marry? And other studies on the problems of home and marriage	Peters	['Madison', 'Clinton']					1905	hathi_fulltext						nyp.33433075969299	1905
20447	00020447.txt	137.0	A lost king	DeCapite	Raymond	A_00900		New York	D. McKay Co.	1961	k	American		c			20447	1961
mdp.39015063525730	mdp.39015063525730.txt		Captain of the crew	Barbour	['Ralph', 'Henry']					1901	hathi_fulltext						mdp.39015063525730	1901
mdp.39015012092998	mdp.39015012092998.txt		Miss Osborne-the-Mop	Steele	['Mary', 'Q']					1963	extracted_features						mdp.39015012092998	1963
2653	00002653.txt	124.0	The purple parasol	McCutcheon	George Barr	A_02321		New York	"""Dodd, Mead & Co."""	1905	g	American					2653	1905
2839	00002839.txt	195.0	The slim princess	Ade	George	A_00021		Indianapolis	Bobbs-Merrill Co.	1907	g	American					2839	1907
22142	00022142.txt	896.0	Why me	Westlake	Donald E	A_03579		New York	Viking	1983	k	American		c			22142	1983
10911	00010911.txt	185.0	Ten days' wonder	Queen	Ellery	A_02832		Boston	"""Little, Brown"""	1948	k	American		c			10911	1948
23314	00023314.txt	687.0	Sweet women lie	Estleman	Loren D	A_01101		Boston	Houghton Mifflin Co.	1990	k	American		c			23314	1990
4695	00004695.txt	76.0	Skippy Bedelle	Johnson	Owen	A_01820		Boston	"""Little, Brown, & Co."""	1922	g	American					4695	1922
nyp.33433076050347	nyp.33433076050347.txt		The wall between	Paine	['Ralph', 'Delahaye']					1914	hathi_fulltext						nyp.33433076050347	1914
4874	00004874.txt	135.0	The grey room	Phillpotts	Eden	A_02739		New York	Macmillan Co.	1921	k	British					4874	1921
20216	00020216.txt	161.0	Immortal Queen	Byrd	Elizabeth	A_00506		New York	Ballantine Books	1956	k	American		c			20216	1956
3818	00003818.txt	689.0	A far country	Churchill	Winston	A_00649		New York	Macmillan Co.	1915	g	American				YES	3818	1915
20742	00020742.txt	126.0	The sky-liners	L'Amour	Louis	A_01970		New York/Toronto	Bantam Booksantam Books	1967	k	American					20742	1967
21629	00021629.txt	501.0	The Howard Hughes affair	Kaminsky	Stuart M	A_01854		New York	St. Martin's Press	1979	k	American		c			21629	1979
mdp.39015028471236	mdp.39015028471236.txt		Up north	Bowden	['William', 'H']					1973	extracted_features						mdp.39015028471236	1973
20321	00020321.txt	834.0	The hard blue sky	Grau	Shirley Ann	A_01437		New York	Alfred A. Knopf	1958	k	American		c			20321	1958
mdp.39015014730025	mdp.39015014730025.txt		The outcasts	Becker	['Stephen', 'D']					1967	extracted_features						mdp.39015014730025	1967
uva.x030802549	uva.x030802549.txt		With Lawton and Roberts; a boy's adventures in the Philipinnes and the Transvaal	Brooks	['Elbridge', 'Streeter']					1900	hathi_fulltext						uva.x030802549	1900
1009	00001009.txt	46.0	Sustained honor	Musick	John R.	A_02519		New York	unk & Wagnalls Co.	1893	g	American	HIST				1009	1893
2106	00002106.txt	51.0	The transfiguration of Miss Philura	Kingsley	Florence Morse	A_01914		New York/London	Funk & Wagnalls Co.	1901	g	American	ROM				2106	1901
10370	00010370.txt	99.0	The sleepwalkers	Broch	Hermann	A_00397		Boston	"""Little, Brown & Co."""	1932	k	American					10370	1932
uc2.ark+=13960=t2r49hq8f	uc2.ark+=13960=t2r49hq8f.txt		The blond beast	Bennet	['Robert', 'Ames']					1918	hathi_fulltext						uc2.ark+=13960=t2r49hq8f	1918
3262	00003262.txt	86.0	The angel of Lonesome Hill	Landis	Frederick	A_01980		New York	Charles Scribner's Sons	1910	g	American					3262	1910
4599	00004599.txt	144.0	Autumn	Nathan	Robert	A_02530		New York	R.M. McBride & Co.	1921	g	American		c			4599	1921
22589	00022589.txt	288.0	The hound and the falcon	Tarr	Judith	A_03337		Garden City/N.Y.	"""Doubleday, Page & Co."""	1986	k	American		c			22589	1986
21760	00021760.txt	283.0	Alex driving south	Maillard	Keith	A_02209		New York	Dial Press	1980	k	American		c			21760	1980
21057	00021057.txt	108.0	High on gold	Richmond	Lee	A_02900		New York	Charter House	1972	k	American		c			21057	1972
20658	00020658.txt	159.0	Detective's due	Linington	Elizabeth	A_02086	1.0	New York	Harper & Bros.	1965	k	American	DET	c			20658	1965
uc1.$b242663	uc1.$b242663.txt		Thank You, Mr. Moto	Marquand	['John', 'P', 'John', 'Phillips']					1936	extracted_features						uc1.$b242663	1936
pst.000005825424	pst.000005825424.txt		Fifteen rabbits : a celebration of life	Salten	['Felix']					1930	extracted_features						pst.000005825424	1930
uc2.ark+=13960=t0gt5hw24	uc2.ark+=13960=t0gt5hw24.txt		Perilous adventures	Davenport	['R', 'A']					1900	hathi_fulltext						uc2.ark+=13960=t0gt5hw24	1900
4849	00004849.txt	300.0	Sons and lovers	Lawrence	D. H.	A_02006		New York	M. Kennerley	1913	k	British		c			4849	1913
11249	00011249.txt	22.0	The sleeping fury	Armstrong	Martin	A_00086		New York	"""Harcourt, Brace & Co."""	1929	k	British					11249	1929
4389	00004389.txt	53.0	All the brothers were valiant	Williams	Ben Ames	A_03636		New York	Macmillan Co.	1919	g	American					4389	1919
24415	00024415.txt	995.0	A regular guy	Simpson	Mona	A_04237		New York	Alfred A. Knopf	1996	k	American		c			24415	1996
1785	00001785.txt	157.0	McTeague	Norris	Frank	A_02566		New York	"""Doubleday, Page & Co."""	1899	g	American	REAL	c	NAT		1785	1899
mdp.39015063931268	mdp.39015063931268.txt		Dorothy Q, together with A ballad of the Boston tea party & Grandmother's story of Bunker Hill battle	Holmes	['Oliver', 'Wendell']					1892	hathi_fulltext						mdp.39015063931268	1892
pst.000063969689	pst.000063969689.txt		Loco, the bronc	Gray	['Patsey']					1961	extracted_features						pst.000063969689	1961
25189	00025189.txt	893.0	Be the one	Smith	April	A_04240		New York	Alfred A. Knopf	2000	k	American		c			25189	2000
10814	00010814.txt	51.0	Crows can't count	Fair	A. A.	A_01117		New York	W. Morrow	1946	k	American		c			10814	1946
20894	00020894.txt	540.0	Ripley under ground	Highsmith	Patricia	A_01650		Garden City/N.Y.	"""Doubleday, Page & Co."""	1970	k	American	DET	c			20894	1970
1056	00001056.txt	56.0	In the quarter	Chambers	Robert W.	A_00604		Chicago/New York	F.T. Neely	1894	g	American					1056	1894
22120	00022120.txt	370.0	The alien upstairs	Sargent	Pamela	A_03027		Garden City/N.Y.	"""Doubleday, Page & Co."""	1983	k	American		c			22120	1983
21559	00021559.txt	1156.0	The white dragon	McCaffrey	Anne	A_02292		New York	Ballantine Books	1978	k	American	FANT	c			21559	1978
21942	00021942.txt	1035.0	This Calder range	Dailey	Janet	A_00832		New York/N.Y.	. : Pocket Books	1982	k	American		c			21942	1982
25440	00025440.txt	340.0	Happy policeman	Anthony	Patricia	A_04323		New York	"""Harcourt, Brace & Co."""	1994	k	American		c			25440	1994
uc1.$b105699	uc1.$b105699.txt		Big Jim Turner : a novel	Stevens	['James']					1948	extracted_features						uc1.$b105699	1948
10886	00010886.txt	74.0	The furies	Busch	Niven	A_00499		New York	Dial Press	1948	k	American		c			10886	1948
22904	00022904.txt	628.0	Mischief in Maggody	Hess	Joan	A_01640		New York	St. Martin's Press	1988	k	American		c			22904	1988
uc1.b3559035	uc1.b3559035.txt		What was naturalism? Materials for an answer	Stone	['Edward']					1959	extracted_features						uc1.b3559035	1959
21509	00021509.txt	295.0	The piercing	Coyne	John	A_00770		New York	Putnam	1978	k	American		c			21509	1978
20777	00020777.txt	452.0	A case of need	Crichton	Michael	A_00785	1.0	New York	World Pub. Co.	1968	k	American	SCI	c			20777	1968
24481	00024481.txt	917.0	Rage of a demon king	Feist	Raymond E	A_01145		New York	Avon Books	1997	k	American		c			24481	1997
2675	00002675.txt	117.0	At the sign of the Jack o' Lantern	Reed	Myrtle	A_02865		New York	G.P. Putnam's Sons	1905	g	American					2675	1905
3122	00003122.txt	250.0	Options	Henry	O.	A_01630		New York/London	Harper & Bros.	1909	g	American					3122	1909
uc1.$b244027	uc1.$b244027.txt		Border breed	Raine	['William', 'MacLeod']					1935	extracted_features						uc1.$b244027	1935
mdp.39015008837695	mdp.39015008837695.txt		Barometer rising	MacLennan	['Hugh']					1941	extracted_features						mdp.39015008837695	1941
nyp.33433074939137	nyp.33433074939137.txt		A mirror of Shalott : being a collection of tales told at an unprofessional symposium	Benson	['Robert', 'Hugh', 'Spirit']					1907	hathi_fulltext						nyp.33433074939137	1907
20363	00020363.txt	76.0	Moura	Coffman	Virginia	A_00685		New York	Crown Publishers	1959	k	American		c			20363	1959
20811	00020811.txt	265.0	After the first death	Block	Lawrence	A_00311		New York	Macmillan Co.	1969	k	American		c			20811	1969
20924	00020924.txt	189.0	The lion in the lei shop	Starbird	Kaye	A_03233		New York	"""Harcourt, Brace & Co."""	1970	k	American		c			20924	1970
4127	00004127.txt	64.0	The whistling mother	Richmond	Grace S.	A_02899		Garden City/N.Y.	"""Doubleday, Page & Co."""	1917	g	American					4127	1917
25216	00025216.txt	394.0	The killing of the saints	Abella	Alex	A_04317		New York	Crown	1991	k	American		c			25216	1991
11592	00011592.txt	44.0	This time a better earth	Allan	Ted	A_00042		New York	W. Morrow & Co.	1939	k	Canadian		c			11592	1939
mdp.39015008379565	mdp.39015008379565.txt		Sanshô-Dayû	Mori	['Ōgai']					1922	extracted_features						mdp.39015008379565	1922
21782	00021782.txt	1381.0	Emmeline	Rossner	Judith	A_02978		New York	Simon & Schuster	1980	k	American		c			21782	1980
uc1.$b242800	uc1.$b242800.txt		Shepherds in sackcloth	KayeSmith	['Sheila']					1930	extracted_features						uc1.$b242800	1930
10275	00010275.txt	485.0	Oil!	Sinclair	Upton	A_03151		New York	A. & C. Boni	1927	k	American	REAL	c	NAT		10275	1927
1900	00001900.txt	59.0	Wanted: a match maker	Ford	Paul Leicester	A_01218		New York	"""Dodd, Mead"""	1900	g	American	ROM				1900	1900
20252	00020252.txt	106.0	Unhappy Hooligan	Palmer	Stuart	A_02642		New York	Harper & Bros.	1956	k	American		c			20252	1956
1988	00001988.txt	91.0	Quincy Adams Sawyer and Mason's corner folks	Pidgin	Charles Felton	A_02746		Boston	C.M. Clark	1900	g	American					1988	1900
