docid	date	num_chunks	fraction_compared	filtered	time_radius	chunks_used	precocity	novelty	transience
290735790ea1d2518f17ef32ddf7722764aee73c	1920	1	1.0	True	10	1.0	-0.04487111230282448	6.054729355292869	6.099600467595693
290735790ea1d2518f17ef32ddf7722764aee73c	1920	1	1.0	True	10	0.25	-0.04487111230282448	6.054729355292869	6.099600467595693
290735790ea1d2518f17ef32ddf7722764aee73c	1920	1	1.0	True	20	1.0	-0.05040279723954111	6.066995794258396	6.117398591497937
290735790ea1d2518f17ef32ddf7722764aee73c	1920	1	1.0	True	20	0.25	-0.05040279723954111	6.066995794258396	6.117398591497937
290735790ea1d2518f17ef32ddf7722764aee73c	1920	1	1.0	False	10	1.0	-0.04421082776222374	6.05538963983347	6.099600467595693
290735790ea1d2518f17ef32ddf7722764aee73c	1920	1	1.0	False	10	0.25	-0.04421082776222374	6.05538963983347	6.099600467595693
290735790ea1d2518f17ef32ddf7722764aee73c	1920	1	1.0	False	20	1.0	-0.05007265496923985	6.067325936528698	6.117398591497937
290735790ea1d2518f17ef32ddf7722764aee73c	1920	1	1.0	False	20	0.25	-0.05007265496923985	6.067325936528698	6.117398591497937
290735790ea1d2518f17ef32ddf7722764aee73c	1920	1	0.05	True	10	1.0	-0.13838159604760092	3.483300997995085	3.621682594042686
290735790ea1d2518f17ef32ddf7722764aee73c	1920	1	0.05	True	10	0.25	-0.13838159604760092	3.483300997995085	3.621682594042686
290735790ea1d2518f17ef32ddf7722764aee73c	1920	1	0.05	True	20	1.0	-0.09619821728569278	3.528799117977645	3.6249973352633376
290735790ea1d2518f17ef32ddf7722764aee73c	1920	1	0.05	True	20	0.25	-0.09619821728569278	3.528799117977645	3.6249973352633376
290735790ea1d2518f17ef32ddf7722764aee73c	1920	1	0.05	False	10	1.0	-0.13838159604760092	3.483300997995085	3.621682594042686
290735790ea1d2518f17ef32ddf7722764aee73c	1920	1	0.05	False	10	0.25	-0.13838159604760092	3.483300997995085	3.621682594042686
290735790ea1d2518f17ef32ddf7722764aee73c	1920	1	0.05	False	20	1.0	-0.09619821728569278	3.528799117977645	3.6249973352633376
290735790ea1d2518f17ef32ddf7722764aee73c	1920	1	0.05	False	20	0.25	-0.09619821728569278	3.528799117977645	3.6249973352633376
51004385545abe748dc9f148d099c2b75af34301	1920	2	1.0	True	10	1.0	-0.029784987608920677	5.965076665943337	5.994861653552258
51004385545abe748dc9f148d099c2b75af34301	1920	2	1.0	True	10	0.25	-0.015379483719695664	5.926429184521361	5.941808668241056
51004385545abe748dc9f148d099c2b75af34301	1920	2	1.0	True	20	1.0	-0.002924243582451247	6.007841962054423	6.010766205636874
51004385545abe748dc9f148d099c2b75af34301	1920	2	1.0	True	20	0.25	0.03576506300250237	5.989135000863575	5.953369937861073
51004385545abe748dc9f148d099c2b75af34301	1920	2	1.0	False	10	1.0	-0.031142959151953864	5.962890768024902	5.9940337271768565
51004385545abe748dc9f148d099c2b75af34301	1920	2	1.0	False	10	0.25	-0.01760964253047881	5.9233745080782825	5.940984150608761
51004385545abe748dc9f148d099c2b75af34301	1920	2	1.0	False	20	1.0	-0.003899324780736624	6.006452917668437	6.010352242449174
51004385545abe748dc9f148d099c2b75af34301	1920	2	1.0	False	20	0.25	0.034206682996511084	5.987164362041436	5.952957679044925
51004385545abe748dc9f148d099c2b75af34301	1920	2	0.05	True	10	1.0	-0.06805827365890549	3.877295317130993	3.9453535907898987
51004385545abe748dc9f148d099c2b75af34301	1920	2	0.05	True	10	0.25	-0.05618050655037532	3.450686996614742	3.5068675031651173
51004385545abe748dc9f148d099c2b75af34301	1920	2	0.05	True	20	1.0	-0.008418716383809866	3.9803446692522457	3.9887633856360556
51004385545abe748dc9f148d099c2b75af34301	1920	2	0.05	True	20	0.25	0.0536690205172361	3.581491533096006	3.52782251257877
51004385545abe748dc9f148d099c2b75af34301	1920	2	0.05	False	10	1.0	-0.07088167103866683	3.872073522074244	3.942955193112911
51004385545abe748dc9f148d099c2b75af34301	1920	2	0.05	False	10	0.25	-0.06294370099562308	3.444434628790737	3.50737832978636
